,Airport ID,Name,City,Country,IATA,ICAO,Latitude,Longtitude,Altitude,TimeZone,DST
7331,12673,Evergreen Regional Airport/Middleton Field,Evergreen,United States,\N,KGZH,31.4158,-87.043999,259,-6,A
7332,12675,Pryor Field Regional Airport,Decatur,United States,DCU,KDCU,34.652698516799994,-86.94539642330001,592,-6,A
7333,12676,Glasgow Municipal Airport,Glasgow,United States,GLW,KGLW,37.03179932,-85.9536972,716,-6,A
7334,12796,Danielson Airport,Danielson,United States,\N,KLZD,41.81969833374024,-71.9010009765625,238,-5,A
7335,12844,Docker River Airport,Docker River,Australia,DKV,YDVR,-24.86000061035156,129.07000732421875,589,9.5,N
7336,12856,Clearfield Lawrence Airport,Clearfield,United States,\N,KFIG,41.04859924316406,-78.41310119628906,1516,-5,A
7337,12873,Jasper County Airport,Rensselaer,United States,RNZ,KRZL,40.9478988647,-87.1826019287,698,-5,A
7338,12918,Ti Tree Airport,Ti Tree,Australia,\N,YTIT,-22.13170051574707,133.4199981689453,0,9.5,N
7339,12919,Sabetta International Airport,Sabetta,Russia,SBT,USDA,71.219167,72.052222,46,5,N
7340,12921,Alxa Left Banner Bayanhot Airport,Alxa Left Banner,China,AXF,ZBAL,38.74831,105.58858,4560,8,N
7341,12931,El Fuentero Airport,Svenborg,Denmark,\N,SVFT,7.099999904632568,-69.58333587646484,420,1,E
7342,12941,Sturgate Airfield,Eger,Hungary,\N,EGCS,53.38109970092773,-0.6852779984474182,58,1,E
7343,12945,Simberi Airport,Simberi Island,Papua New Guinea,NIS,AYSE,-2.66222222222,151.997777778,10,10,N
7344,12946,Bulolo Airport,Bulolo,Papua New Guinea,BUL,AYBU,-7.216286671410001,146.649541855,2240,10,N
7345,12948,Kintore Airport,Kintore,Australia,\N,YKNT,-23.26499938964844,129.38699340820312,0,9.5,N
7346,12950,Statesboro Bulloch County Airport,Statesboro,United States,TBR,KTBR,32.4827003479,-81.73690032959999,187,-5,A
7347,12951,Utopia Airport,Utopia,Australia,\N,YUTP,-22.05500030517578,134.7899932861328,0,9.5,N
7348,12957,Nyrripi Airport,Nyirripi,Australia,\N,YNRR,-22.645299911499023,130.56500244140625,0,9.5,N
7349,12958,Amata Airport,Amata,Australia,AMT,YAMT,-26.108299255371094,131.20700073242188,695,9.5,O
7350,12961,Glacier Country Heliport,Franz Josef,New Zealand,\N,NZGH,-43.38722,170.18,457,13,Z
7351,12979,Erldunda Airport,Erldunda,Australia,EDD,YERL,-25.205799102800004,133.253997803,0,9.5,N
7352,12980,Helisul I Heliport,Foz do Iguassu,Brazil,\N,SSHH,-25.604167938232425,-54.49361038208008,732,-3,S
7353,12984,Finke Airport,Finke,Australia,FIK,YFNE,-25.5946998596,134.582992554,0,9.5,N
7354,12987,Humberto Ghizzo Bortoluzzi Regional Airport,Jaguaruna,Brazil,JJG,SBJA,-28.6753,-49.0596,120,-3,S
7355,13004,Nypari Airport,Angatja Homeland,Australia,\N,YNYP,-26.200000762939453,130.23300170898438,0,9.5,O
7356,13006,Ihtiman Airfield,Ihtiman,Bulgaria,\N,LBHT,42.42189,23.767221,2113,2,E
7357,13009,Vogtareuth Airport,Vogtareuth,Germany,\N,EDNV,47.94610977172852,12.20472240447998,1535,1,E
7358,13011,[Duplicate] Illertissen see EDMI - ED-0425 location moved out-of-the way,Not Specified,New Zealand,\N,XXXX,89.5,0.0001,0,0,U
7359,13016,New Smyrna Beach Municipal Airport,New Smyrna Beach,United States,\N,KEVB,29.055700302124023,-80.94889831542969,10,-5,A
7360,13018,Las Vegas Helicopters Heliport,Las vegas,United States,\N,NV03,36.10810089111328,-115.17400360107422,2133,-8,A
7361,13019,Delta Camp Airport,Delta Camp,Botswana,\N,FBDT,-19.5323,23.0925,3140,2,N
7362,13020,Hwange (Town) Airport,Hwange,Zimbabwe,WKI,FVWT,-18.362967,26.519791,2500,2,N
7363,13022,Harbour (Public) Heliport,Vancouver,Canada,\N,CBC7,49.2868921105,-123.106112257,2,-8,A
7364,13023,Victoria Harbour (Camel Point) Heliport,Victoria,Canada,\N,CBF7,48.41809844970703,-123.38800048828124,15,-8,A
7365,13032,Shushenskoye Airport,Shushenskoye,Russia,\N,UNAU,53.3849983215332,92.04499816894533,0,8,E
7366,13066,Stockerau Airport,Stockerau,Austria,\N,LOAU,48.40999984741211,16.191699981689453,686,1,E
7367,13069,Klaipėda Airport,Klaipeda,Lithuania,KLJ,EYKL,55.7118988037,21.2427997589,59,2,E
7368,13072,Iowa County Airport,MINERAL POINT,United States,\N,KMRJ,42.886799,-90.236198,1171,-5,A
7369,13074,West Bend Municipal Airport,WEST BEND,United States,ETB,KETB,43.4221992493,-88.1278991699,887,-5,A
